"UniqueID","start.time","Vtot","Area","Tcham","Pcham"
"BCI1_2m",2026-05-12 12:40:00,1.1096,213.35,28,101.3
"BCI1_Base",2026-05-12 13:13:00,1.1096,213.35,28,101.3
"BCI2_2m",2026-05-12 14:21:00,1.1096,213.35,28,101.3
"BCI2_Base",2026-05-12 14:50:00,1.1096,213.35,28,101.3
"BCI3_2m",2026-05-12 15:22:00,1.1096,213.35,28,101.3
"BCI3_Base",2026-05-12 15:36:00,1.1096,213.35,28,101.3
"BCI4_2m",2026-05-12 16:05:00,1.1096,213.35,28,101.3
"BCI4_Base",2026-05-12 16:20:00,1.1096,213.35,28,101.3
"BCI5_2m",2026-05-12 16:38:00,1.1096,213.35,28,101.3
"BCI5_Base",2026-05-12 17:00:00,1.1096,213.35,28,101.3
"BCI6_2m",2026-05-12 18:10:00,1.1096,213.35,28,101.3
"BCI6_Base",2026-05-12 18:27:00,1.1096,213.35,28,101.3
