source_photo,transect,page,date,TreeID,species,H1,H2,H3,Phenology,Moisture,D30,D80,D160,flux30Start,flux80Start,flux160Start,ppm30,ppm80,ppm160,Note
IMG_2898,SE-NW,1 of 3,2026-05-22,SE8A,Araca Peua,40,80,160,?,26;26;26,16,16?,20?,21:44,21:48,21:52,,,,206 (Special 2026_03)
IMG_2898,SE-NW,1 of 3,2026-05-22,SE32A,Imolongo,40,80,160,25% old;50% old?,28;32;32,19,18,17,20:31,20:36,20:39,,,,200 (Special 2026_03)
IMG_2898,SE-NW,1 of 3,2026-05-22,SE46,Mututi,,,,,,,,,,,,,,,no data (blank)
IMG_2898,SE-NW,1 of 3,2026-05-22,SE17,Envira Basurinha,40,80,160,2.9% old?;80% gone?,20;20;20,16,16,16,21:59,22:03,22:06,,,,187
IMG_2898,SE-NW,1 of 3,2026-05-22,SE27,Biorana Branca,40,80,160,50% old,18;19;17,24,23,23,21:23,21:32,21:37,,,,185
IMG_2898,SE-NW,1 of 3,2026-05-22,SE28A,Sucuba,40,80,160,25% old,24;26;24,10.5,10,10,20:47,20:50,20:57,,,,200
IMG_2898,SE-NW,1 of 3,2026-05-22,SE29,Mata mata folha miuda,,,,,,,,,,,,,,,no data (blank)
IMG_2898,SE-NW,1 of 3,2026-05-22,SE32B,Ripeira,40,80,160,70% old;30% new,22;19;22,55,53,51,20:10,20:14,20:19,,,,217
IMG_2898,SE-NW,1 of 3,2026-05-22,SE33,Macuru,40,80,160,70% new?,17;19;24,13,12,12,19:50,19:55,20:03,,,,261
IMG_2898,SE-NW,1 of 3,2026-05-22,SE40,Ripeira,40,80,160,25% old,16;22;23,21,20,20,19:33,19:38,19:42,,,,258
IMG_2898,SE-NW,1 of 3,2026-05-22,SE58,Caujarana,40,80,160,25% old;7.5% gone,19;17;16,31,30,29,19:01,19:05,19:09,,,,282
IMG_3043,N-S,3 of 3,5/26/26,S14b,Ripeira,40,80,160,,,32,31,31,17:38,17:46,17:55,,,,"isotopes @ 40+80cm, T=5min"
IMG_3043,N-S,3 of 3,5/26/26,S15,Molongó,,,,,,,,,,,,,,,no data (blank)
