# IMG_3044 | Page 2 of 3 | Date 5/25/26 | Location N-S | Team Jon + Fabricio | Weather (blank),,,,,,,,,,,,,,,,
TreeID,species,H1,H2,H3,Phenology,Moisture,D30,D80,D160,flux30Start,flux80Start,flux160Start,ppm30,ppm80,ppm160,Note
N40,Embaumba Rosa,,,,,,,,,,,,,,,no data (blank)
N42a,Uixirana de uixinho,,,,,,,,,,,,,,,no data (blank)
N58,Genipapinho,,,,,,,,,,,,,,,no data (blank)
N62,Piranhieira,,,,,,,,,,,,,,,no data (blank)
N68,Tamanqueira,,,,,,,,,,,,,,,no data (blank)
N84,Cumaru,,,,,,,,,,,,,,,no data (blank)
S10,Araçá Peua,40,80,160,,,28,27,26,17:12,17:20,17:29,,,,Special 2026_03
S14a,Molongó,40,80,,,,15,14,,20:42,20:50,,,,,Special 2026_03
S53,Paricarana,40,80,160,,,34,33,33,21:39,21:43,21:48,,,,Special 2026_03
S63a,Munguba,40,80,160,,,45,43,44.5,21:19,21:24,21:30,,,,Special 2026_03
S7,Socoró,40,80,160,,,18.5,18,17,20:27,20:30,20:35,,,,
