# IMG_3048 | Page 1 of 3 | Date 5/25 | Location NE-SW | Team Solo Jon (Que tribe?) | Note taker Jon | Weather cloudy,,,,,,,,,,,,,,,,
TreeID,species,H1,H2,H3,Phenology,Moisture,D30,D80,D160,flux30Start,flux80Start,flux160Start,ppm30,ppm80,ppm160,Note
NE3,Seringal,,,,,,,,,,,,,,,Special 2026_03
NE14,Ingá,40,80,160,,,,,,19:23,19:32,19:37,,,,"Special 2026_03; took isotopes; 40/30?; T1 only, T2=2min"
NE25,Seringal,,,,,,,,,,,,,,,Special 2026_03
NE59,Uruçurana,40,80,160,,,,,,20:15,20:21,20:25,,,,"Special 2026_03; isotopes, as above"
NE6,Uxirana de tuxinho,40,80,160,,,,,,18:52,18:58,19:04,,,,
NE8,Molongó,50,,,,,,,,19:12,,,,,,
NE10,Ingá Xixaua,40,80,160,,,,,,18:37,18:42,,,,,
NE12,Paricarana,40,80,160,,,,,,18:21,18:26,18:29,,,,
NE22b,Uruçurana,,,,,,,,,,,,,,,no data (blank)
NE23,Piranheira,,,,,,,,,,,,,,,no data (blank)
NE31,Macucú,30,80,,,,,,,19:54,20:00,,,,,
NE32b,Envira Preta,,,,,,,,,,,,,,,no data (blank)
