# IMG_3174 | Page 2 of 3 | Date 5/27/26 | Location E-W | Team Jon + Fabrizio | Weather (blank),,,,,,,,,,,,,,,,
TreeID,species,H1,H2,H3,Phenology,Moisture,D30,D80,D160,flux30Start,flux80Start,flux160Start,ppm30,ppm80,ppm160,Note
E39b,Piranheira,,,,,,,,,,,,,,,no data (blank)
E65,Piranheira (struck through),40,,,,,38,39,,17:05,,,,,,"Cicor died? (species struck through; TreeID circled, overwrites E89b?)"
E85,Violeta,,,,,,,,,,,,,,,"no data (blank); última árvore, ótimo árvore!"
W23a,Caraipé,40,80,,,,31.5,31.5,,16:41,16:49,,,,,"Special 2026_03; isotopes - 40+80cm, t1=5min"
W52,Socoró,,,,,,,,,,,,,,,no data (blank); Special 2026_03
W79,Parajuba,,,,,,,,,,,,,,,no data (blank); Special 2026_03
W80,Mata; Mata folha miuda,,,,,,,,,,,,,,,no data (blank); Special 2026_03
W5,Macucú,40,80,,,,28,28,,16:11,16:14,,,,,
W10,Seringa Barriguda,40,70,,,,34.5,34.5,,16:20,16:28,,,,,"isotopes - 70cm+80cm, T1=5min"
W16,Seringa Barriguda,,,,,,,,,,,,,,,no data (blank)
W23b,Pato de Vaca,,,,,,,,,,,,,,,no data (blank)
