# IMG_3175 | Page 1 of 3 | Date 5/27/26 | Location E-W | Team Jon + Fabricio | Weather (blank),,,,,,,,,,,,,,,,
TreeID,species,H1,H2,H3,Phenology,Moisture,D30,D80,D160,flux30Start,flux80Start,flux160Start,ppm30,ppm80,ppm160,Note
E1,Mata Folha Miuda,50,80,,,,18,18,,15:12,15:17,,,,,Special 2026_03
E20,Macucú,50,80,,,,34,33,,15:36,15:46,,,,,"Special 2026_03; isotopes, 40+80cm, T=5min; Climbed + auto"
E42,Mata mata folha miuda,,,,,,,,,,,,,,,Special 2026_03; no data (blank)
E99,Caximbu,,,,,,,,,,,,,,,Special 2026_03; no data (blank)
E13,Mata Mata Folha Miuda,50,80,,,,17,17,,15:24,15:28,,,,,
E17a,Araçá Peua,,,,,,,,,,,,,,,no data (blank)
E17b,Envira Preta,,,,,,,,,,,,,,,no data (blank)
E24,Araçá Peua,,,,,,,,,,,,,,,no data (blank)
E31,Seringaí,,,,,,,,,,,,,,,no data (blank)
E33,Acapurana,40,80,,,,24.5,24.5,,15:57,16:01,,,,,
E39a,Paricarana,,,,,,,,,,,,,,,no data (blank)
