"UniqueID","allan_sd_CO2","allan_sd_CH4","n_meas_pts","CO2_best.flux","CO2_flux.term","CO2_nb.obs","CO2_MDF_native","CH4_best.flux","CH4_flux.term","CH4_nb.obs","CH4_MDF_native","t_sec","df_meas","t99","t95","t90","CO2_MDF_manuf","CH4_MDF_manuf","CO2_MDF_wass99","CO2_MDF_wass95","CO2_MDF_wass90","CH4_MDF_wass99","CH4_MDF_wass95","CH4_MDF_wass90","CO2_MDF_chr99","CO2_MDF_chr95","CO2_MDF_chr90","CH4_MDF_chr99","CH4_MDF_chr95","CH4_MDF_chr90","CO2_noise_floor","CH4_noise_floor","CO2_SNR","CH4_SNR","CO2_below_MDF_manuf","CO2_below_MDF_wass99","CO2_below_MDF_chr99","CH4_below_MDF_manuf","CH4_below_MDF_wass99","CH4_below_MDF_chr99"
"E13_50cm",0.556533932065489,4.15826647729284,126,1.42817952538522,0.823678950742756,126,0.0228799708539654,49.903623935585,0.823678950742756,126,0.00392228071782265,126,124,2.61605988306461,1.97928011660484,1.65723497015084,0.0228799708539654,0.00392228071782265,0.00855880298947917,0.00651244458902649,0.00546541578675718,0.0345706229557284,0.0263049945984338,0.0220758473693722,0.0285527542104648,0.0216026777708446,0.0180877445038728,0.21333822400929,0.16140918930293,0.135146587273032,0.00363813718425748,0.0271831473724234,392.557908911482,1835.82950318001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"E13_80cm",0.425288861096771,0.571808817736952,131,1.75173998790277,0.823333222668557,131,0.0219974525140454,9.86027479356129,0.823333222668557,131,0.00377099185955064,131,129,2.61447867993781,1.97852449147925,1.6567515939817,0.0219974525140454,0.00377099185955064,0.00822867579420486,0.00626124882377784,0.00525460565514088,0.0332371768173736,0.025290367424615,0.0212243454029975,0.0209649925299955,0.0158654004343467,0.0132851665834623,0.0281878240627444,0.0213313272346036,0.0178621546257698,0.00267293472192248,0.00359381066150887,655.362053377364,2743.68232560739,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"E1_50cm",0.421811831202505,5.27874281766686,183,0.820678839997296,0.823635221613794,183,0.0157525862057283,29.6912177697398,0.823635221613794,183,0.00270044334955342,183,181,2.60326428240708,1.97315704215916,1.65331575762262,0.0157525862057283,0.00270044334955342,0.00589263346400849,0.00448374018714664,0.00376287338303665,0.0238014603152984,0.0181106740781197,0.0151989568068119,0.0148266177832934,0.0112379083015947,0.0094162859218815,0.185546958013791,0.1406362347958,0.1178396337,0.00189846492388959,0.023758243226619,432.285490066301,1249.72277985914,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"E1_80cm",0.425225133362867,0.660808018456552,123,0.746156422297602,0.823210420709578,123,0.0234246867681587,3.39730694984912,0.823210420709578,123,0.00401566058882721,123,121,2.61707226617086,1.97976376250537,1.65754431908747,0.0234246867681587,0.00401566058882721,0.00876256706875056,0.00666748990051691,0.00559553391390566,0.0353936645849225,0.0269312519163295,0.0226014190782764,0.0223440371003586,0.0169028251650416,0.0141517803080646,0.0347230624959502,0.0262673147170187,0.0219921382093481,0.00284593301570676,0.00442263452749496,262.183409862266,768.163620287521,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"E20_50cm",0.784825252240332,39.8253680749217,232,1.44248784660818,0.82313960806281,232,0.012418054431982,60.9268834368529,0.82313960806281,232,0.00212880933119692,232,230,2.59737360864563,1.97033177327508,1.65150563808686,0.012418054431982,0.00212880933119692,0.00464527171272784,0.00353461514037644,0.00296634253454924,0.0187631304406736,0.0142769786221004,0.0119816181591629,0.0216977230352072,0.0164595932451487,0.0137962100665899,1.1010346619176,0.835229699197817,0.700078319820208,0.002784572200547,0.141301025293742,518.028531034255,431.185005984179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"E20_80cm",0.897093272709696,6.04118291000387,320,1.46484028247822,0.823157669705379,320,0.00900328701240258,32.9088030627027,0.823157669705379,320,0.00154342063069759,320,318,2.59137788951775,1.96745194786088,1.64965942861485,0.00900328701240258,0.00154342063069759,0.00336789588975963,0.00256265220622917,0.00215064552679545,0.0136035680576067,0.0103510366224244,0.00868686377168189,0.0179400089044839,0.0136205937414774,0.0114205284217439,0.120811155869806,0.0917234591299256,0.076907834696225,0.00230765377460027,0.0155401438951961,634.774721668097,2117.66398590915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"E33_40cm",0.533327618751348,5.78496706494707,136,1.77522818257971,0.823901869189935,136,0.0212033569276821,57.7712659185013,0.823901869189935,136,0.00363486118760265,136,134,2.61301706497945,1.97782575808712,1.65630454190102,0.0212033569276821,0.00363486118760265,0.00793162525502901,0.00603522128477488,0.00506491736481896,0.0320373335447492,0.0243773994735957,0.0204581585458054,0.0253276067812395,0.0191707868096267,0.0160543268964759,0.274726764397536,0.207944172406563,0.174140151532837,0.00323095310279303,0.0350459204265596,549.444119459702,1648.44481797999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"E33_80cm",0.450423174455077,0.983389625558367,140,1.62686500820945,0.823692662050546,140,0.0205923165512637,14.1680150635097,0.823692662050546,140,0.00353011140878806,140,138,2.61192502761201,1.97730354202764,1.65597038243374,0.0205923165512637,0.00353011140878806,0.00770305091663659,0.00586129769813737,0.00491895608973959,0.0311140785896308,0.0236748892342382,0.0198685933679284,0.0207653784222852,0.0157199980366466,0.0131653287455849,0.0453361613464351,0.0343207984396859,0.0287432983907553,0.002650073311544,0.00578579156077901,613.894340629239,2448.7600209369,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"E65_40cm",0.787292095971508,69.3488136549851,97,1.86997578099509,0.822791590652624,97,0.0296883563637545,444.750631881218,0.822791590652624,97,0.00508943251950077,97,95,2.62857567078274,1.9852510035055,1.66105181727724,0.0296883563637545,0.00508943251950077,0.011105643220467,0.00845035061417982,0.00709175779064486,0.0448577920215653,0.0341325633135406,0.0286449501145314,0.0526618049318983,0.0397732133982392,0.0332780934387866,4.63872775510445,3.50343306954052,2.9313088655257,0.00667811665930553,0.5882435123408,280.015440938636,756.065511222418,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"N26_45cm",0.597343434742544,8.74244126986441,134,1.47425205424477,0.823598103187446,134,0.021511890754896,91.5028296054559,0.823598103187446,134,0.00368775270083931,134,132,2.61358824196023,1.97809884192412,1.65647926988246,0.021511890754896,0.00368775270083931,0.00804703974832393,0.00612304086576976,0.00513861788046934,0.0325035144974163,0.024732119359827,0.0207558488584956,0.0287867778669367,0.0217873232849434,0.0182449170905083,0.421309920245119,0.318869151593273,0.267024138644901,0.00367142477466741,0.0537332690081192,401.547667384338,1702.90829675056,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
